Replicate,Watering,Phase,Variety,Leaf Water Potential,total leaf area (cm2),Leaf Canopy temp,Fv/Fm,Photosynthesis,Stomatal Conductance,Transpiration Rate,Water Use Efficiency,Green Leaf Dry Weight,Senesced Leaf Dry Weight,Stem Dry Weight,Total Shoot Dry Weight,Leaf Area Ratio,Specific Leaf Area,Specific Leaf Weight,Basal Fine Root Mass,Total Fine Root Mass,Coarse Roots Mass,Total Root Mass,Root:Shoot Ratio,Total Fine Root length (cm),Total Fine Root Surface Area (m2),Total Fine Root Volume (m3),Specific fine root length (m/g),Root tissue density (g/m3),Fine root length:Leaf area Ratio (cm/m2),root mass fraction
1,Deficit,recovery,4841,-1.4,2204.84,28.46,0.83,,,,,13.949,2.9,9.04,25.889,58.93277167,0.015806438,63.26536166,0,5.3408,6.183,11.5238,0.445123411,11651.7786,1533.1287,0.3494,21.6627,15.3955,5.284636791,0.308017577
1,Deficit,recovery,2789,-0.9,1651.06,30.32,0.819,,,,,10.969,1.89,9.17,22.029,57.41060128,0.015052056,66.43610771,1.9058,1.9058,4.824,6.7298,0.305497299,,,,,,,0.234008373
1,Deficit,recovery,2778,-0.9,1913.95,27.6,0.829,,,,,15.1164,6.38,14.35,35.8464,38.05130101,0.012661414,78.98011965,2.3304,6.4678,7.985,14.4528,0.403186931,5017.5078,980.6441,0.1907,7.6038,34.6039,2.6215459,0.287336578
1,Deficit,recovery,Mara,-0.8,1945.62,28.4,0.818,,,,,13.4921,4.86,9.77,28.1221,51.74727715,0.014420439,69.34601824,1.0595,4.9014,4.575,9.4764,0.336973412,6518.7449,1076.4579,0.3567,12.8496,14.2211,3.35047177,0.25204197
1,Control,recovery,4841,-1.04,3723.45,27.36,0.819,,,,,20.5592,1.32,16.19,38.0692,72.68090439,0.01811087,55.21545878,0.725,5.2932,7.8677,13.1609,0.345709918,6393.8541,966.1379,0.2322,11.8596,23.2149,1.717185444,0.2568978
1,Control,recovery,Mara,1.04,4589,31.46,0.821,,,,,27.0477,0.57,20.59,48.2077,73.66964406,0.016966322,58.940292,1.0825,6.3771,7.7068,14.0839,0.292150424,8090.3121,1262.6989,0.3264,12.5081,19.8157,1.76297932,0.226096295
1,Control,recovery,2778,-0.9,4535.16,27.42,0.825,,,,,25.7197,1.53,21.95,49.1997,65.209158,0.017633021,56.71178084,1.2824,9.0697,11.2785,20.3482,0.413583823,9940.9261,1507.5484,0.4393,10.7874,20.9795,2.19196812,0.292578209
1,Control,recovery,2789,-0.9,3357.41,30.54,0.83,,,,,19.1853,0.29,21.26,40.7353,62.31654871,0.017499909,57.14315499,1.0578,6.5203,6.6211,13.1414,0.322604719,8064.7619,1248.2511,0.2835,12.2108,23.2974,2.402078348,0.243916201
2,Control,recovery,2789,-0.6,2946.5,27.5,0.808,,,,,18.8411,1.04,17.69,37.5711,55.44516076,0.015638684,63.94400136,0.8723,7.5011,8.0704,15.5715,0.414454195,10312.8033,1569.0737,0.4754,13.468,16.1087,3.500018087,0.293013515
2,Control,recovery,2778,-0.9,3001.78,29.68,0.821,,,,,24.108,3.09,20.62,47.818,42.37503953,0.012451385,80.31234801,2.0572,9.9083,13.1121,23.0204,0.48141704,11649.8516,1991.0542,0.43,11.6283,23.3013,3.88098116,0.324970637
2,Control,recovery,Mara,-0.8,3258.72,26.28,0.826,,,,,23.4388,1.31,14.02,38.7688,63.40378588,0.013903101,71.92640055,0.7088,5.5127,7.1148,12.6275,0.325712944,5769.8244,894.1248,0.1354,10.2379,41.6106,1.770579974,0.245688892
2,Control,recovery,4841,-0.9,3393.88,27.56,0.822,,,,,23.0624,1.7,19.35,44.1124,55.1199722,0.014716075,67.95290346,2.3066,6.7946,10.6656,17.4602,0.395811609,7340.0155,1604.0175,0.2454,10.6917,27.9731,2.162720972,0.283570939
2,Deficit,recovery,4841,-0.6,1293.91,29.22,0.834,,,,,9.9206,6.95,7.1,23.9706,38.85533938,0.013042659,76.67148411,1.6049,5.0351,4.295,9.3301,0.389230975,7946.9524,1559.6662,0.3649,15.4643,14.0821,6.141812371,0.280177294
2,Deficit,recovery,2778,-0.86,1909.42,29.56,0.82,,,,,15.6604,3.39,10.2,29.2504,43.15629358,0.012192664,82.01652858,0.9352,8.2784,6.7155,14.9939,0.512604956,6605.3176,1085.0174,0.2283,7.8148,37.0156,3.459331929,0.338888851
2,Deficit,recovery,2789,-0.78,1828,30.14,0.837,,,,,10.6614,1.92,8.09,20.6714,60.7609747,0.017145966,58.32275711,2.1909,5.7504,3.6633,9.4137,0.455397312,5228.5413,1272.5832,0.2474,8.9267,23.6705,2.860252339,0.3129024
2,Deficit,recovery,Mara,-0.9,1766.95,29.64,0.813,,,,,13.725,3.29,7.11,24.125,54.74552062,0.012873953,77.67622174,0.4142,3.4079,4.7428,8.1507,0.33785285,3092.5732,523.2741,0.0962,8.8511,36.3285,1.750232449,0.25253364
