Farm_name,City,State,Last_updated,Association_memberships,farm_count,Naturally_grown,GAP_cert,Cert_organic,Cert_natgrown,IPM,ROP_cert,Demeter_cert,animal_welfare,grass_fed,conventional,transitional,kosher,halaal
Abma's Farm,Wyckoff,New Jersey,5/13/2024,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Agriberry Annapolis CSA,Annapolis,Maryland,2/7/2023,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Agriberry Farm and CSA,Hanover,Virginia,9/1/2022,"Virginia Association for Biological Farming (VABF)
",1,1,1,0,0,1,0,0,0,0,0,0,0,0
Allicins Ranch,Moyie Springs,Idaho,11/7/2023,"
Oregon Tilth Certified Organic (OTCO)
",1,1,0,1,0,0,0,0,0,0,0,0,0,0
Ashby Pasture,Ashby,Massachusetts,5/8/2023,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Aspen Moon Farm LLC,Longmont,Colorado,5/13/2024,"
National Young Farmers Coalition (NYFC)
",1,0,0,1,0,1,0,1,0,1,0,0,0,0
A Farm Less Ordinary,Bluemont,Virginia,2/9/2021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Armagh Creamery,Dublin,Texas,7/14/2022,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A&B Acres llc,Manchester,Michigan,9/19/2023,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A. H. Herb'n Craft Farm,Queen Anne,Maryland,1/17/2024,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Abiding Acres Farm,Delavan,Wisconsin,2/10/2024,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Abraham's Table Farm,Sandstone,Minnesota,2/12/2024,,1,1,1,1,1,1,0,0,1,1,0,0,0,0
Absolute Pastured Poultry,Sugarloaf,Pennsylvania,4/14/2024,"
Pasa Sustainable Agriculture ()
Slow Food USA ()
American Pastured Poultry Producers (APPPA)
Buy Fresh, Buy Local ()
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Abundant Life Organic Farms,Hotchkiss,Colorado,11/3/2023,"
Slow Food USA ()
",1,0,0,1,0,0,0,1,0,0,0,0,0,0
Adobe Farm,Weatherford,Texas,9/6/2023,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Against the Grain Farm,New Castle,Delaware,3/6/2024,"
Certified Naturally Grown (CNG)
Slow Food USA ()
",1,1,0,0,0,0,0,0,0,0,0,1,0,0
Ahavah Farm,Peyton,Colorado,6/3/2024,"
Farm and Ranch Freedom Alliance (FARFA)
Buy Fresh, Buy Local ()
Farmer Veteran Coalition (FVC)
National Young Farmers Coalition (NYFC)
",1,0,0,1,0,1,0,0,0,1,0,0,0,0
Ahimsa Farm,Waring,Texas,10/18/2023,"
Slow Food USA ()
",1,1,0,0,0,0,0,0,0,0,0,1,0,0
Alford Family Farm,Emory,Texas,7/22/2024,"
Texas Organic Farmers & Gardeners Association (TOFGA)
Farm and Ranch Freedom Alliance (FARFA)
",1,1,0,0,0,1,0,0,0,1,0,0,0,0
Aliabaad Farm,Poolesville,Maryland,1/31/2024,,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"Aliff Acres, LLC",McDavid,Florida,2/1/2024,,1,1,0,0,1,1,0,0,0,1,0,0,0,0
Alpacas at Windy Hill,Somis,California,2/7/2024,"
Alpaca Owners Association, Inc. (AOA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Ambrosia Orchard,Withee,Wisconsin,11/13/2023,"
Wisconsin Farmers Union ()
Sustainable Farming Association of MN (SFA)
",1,1,0,0,1,1,0,0,0,0,0,0,0,0
Anawan Farm,Rehoboth,Massachusetts,10/3/2023,"
Northeast Organic Farming Association (NOFA)
Buy Fresh, Buy Local ()
",1,1,1,0,0,0,0,0,0,0,0,0,0,0
Anchor Ranch Farm,Scio,Oregon,3/20/2024,"
American Pastured Poultry Producers (APPPA)
",1,1,0,0,0,1,0,0,0,1,0,0,0,0
Anne Martinez,Santa Fe,New Mexico,3/1/2024,"
American Pastured Poultry Producers (APPPA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Anni Cecil,Lebanon,Connecticut,10/2/2023,"
Farmer Veteran Coalition (FVC)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Appalachian Crafts CSA,Irvine,Kentucky,10/13/2023,"
Southern SAWG (SSAWG)
Organic Crop Improvement Association (OCIA)
Farmer Veteran Coalition (FVC)
",1,1,1,0,0,1,0,0,0,0,0,1,0,0
Ararat Farm,Jonesville,VA,2/27/2024,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Arcadian Fields Organic Farm,Hope Valley,Rhode Island,4/13/2024,"
Northeast Organic Farming Association (NOFA)
",1,0,1,1,0,0,0,0,0,0,0,0,0,0
Area 2 Farms,Arlington,Virginia,6/14/2024,,1,0,0,1,0,1,0,0,0,0,0,0,1,0
Arrowhead Beef,Chipley,Florida,3/27/2024,,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"Autumn Harvest Orchard, LLC",Norfolk,Connecticut,11/21/2023,"
Northeast Organic Farming Association (NOFA)
National Farm To School Network (FTS)
Buy Fresh, Buy Local ()
Farmer Veteran Coalition (FVC)
",1,1,0,0,1,1,0,0,0,0,0,0,0,0
A & B Farm,Pottersville,New York,4/29/2024,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A & M Family Farms,Pleasant Hill,Oregon,12/5/2023,,1,1,0,0,0,1,0,0,0,1,0,0,0,0
A Place on Earth CSA Farm,Turners Station,Kentucky,3/24/2024,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A&R Jersey Farm,Arcadia,Florida,10/3/2023,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
A- BERRY Farms,Eros,Louisiana,8/6/2024,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A-K Family Farm  (TysonHoneyFarm),Ashdown,Arkansas,6/10/2024,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"AJ Farms, LLC",Strasburg,Virginia,2/2/2024,,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ALL Family Farm,Middletown,New York,9/30/2023,"
Farmer Veteran Coalition (FVC)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Abba's Acres,Cobleskill,New York,10/10/2023,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Abenaki Springs Farm,Walpole,New Hampshire,2/24/2024,"
Northeast Organic Farming Association (NOFA)
",1,0,0,1,0,0,0,1,0,1,0,0,0,0
Abiding Vines,Clinton,Mississippi,6/27/2024,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Abundance Acres Farm,Fort Plain,New York,6/19/2024,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Abundance Endeavors,Garfield,Washington,6/11/2024,,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Abundant Grace Ranch,Brookneal,Virginia,11/9/2023,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Acabonac Farms,Middle Island,New York,8/19/2023,,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Accepting New Farmers for Cropshare Program,Montrose,Michigan,8/19/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Accokeek Foundation (National Colonial Farm),Accokeek,Maryland,9/26/2023,,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Adam's Heirlooms,Mishicot,Wisconsin,1/22/2024,"
Wisconsin Farmers Union ()
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Adams Acres,Rialto,California,6/25/2024,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Adams Acres,Evergreen,Colorado,6/6/2024,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Adaptations Inc,Kealakekua,Hawaii,7/17/2024,"
Slow Food USA ()
Hawaii Organic Farmers Association (HOFA)
Buy Fresh, Buy Local ()
",1,0,0,1,0,1,0,0,0,0,0,0,0,0
Aeonian Farm,Westport,Massachusetts,1/24/2024,"
National Young Farmers Coalition (NYFC)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Agape Hills Farm,Angola,Indiana,3/30/2024,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Age Old Agriculture,Cotter,Arkansas,6/13/2024,"
National Young Farmers Coalition (NYFC)
",1,1,0,0,0,1,0,0,0,0,0,0,0,0
Agricultural Incubator Foundation,Bowling Green,Ohio,1/27/2024,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaskan Farm,Fairbanks,Alaska,1/30/2024,,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Aldergrove Farm,Roxboro,North Carolina,10/14/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldrich Family Farm,Lake Stevens,Washington,3/6/2024,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
All About Petals,Auburn,California,11/19/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
All Grass Farms,Dundee,Illinois,10/21/2023,"
American Pastured Poultry Producers (APPPA)
Farm and Ranch Freedom Alliance (FARFA)
",1,1,0,0,0,0,0,0,0,1,0,1,0,0
All Things AG Farms,McClain County,Oklahoma,11/12/2023,,1,1,0,0,0,1,0,0,1,1,0,0,0,0
Almanac Planting Co,Richland,Pennsylvania,3/6/2024,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Alpine Berry Farm,Batesville,Indiana,6/20/2024,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Alstede Farms,Chester,New Jersey,11/5/2023,"
Northeast Organic Farming Association (NOFA)
",1,1,0,1,0,1,0,0,0,0,0,0,0,0
"Alter's Family Farm, LLC",SAINT JOE,Indiana,4/14/2024,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Alternative Roots Farm,Madelia,Minnesota,9/20/2023,"
Land Stewardship Project (LSP)
Sustainable Farming Association of MN (SFA)
",1,0,0,1,0,0,0,1,0,1,0,0,0,0
Always Growing Upchurch Farms LLC,Lillington,North Carolina,7/16/2024,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Amanda Gaspara,Malta,Ohio,8/29/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranth Acres,Dickerson,Maryland,1/21/2024,"
Future Harvest (CASA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
American Heritage Farm,,Michigan,9/9/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amnott Family Farm,Brookville,Ohio,4/29/2024,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Amy Roark,Jenks,Oklahoma,2/23/2024,"
Buy Fresh, Buy Local ()
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Amy's Garden,Charles City,Virginia,2/2/2024,,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Amy's Meats at the Homestead,Lawrence,Kansas,6/12/2024,"
Slow Food USA ()
Buy Fresh, Buy Local ()
The Livestock Conservancy ()
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Ana Ortega,Miami,Florida,3/14/2024,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ancient Herbals,Shirland,Illinois,1/16/2024,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Andy Kromer Farms,Sandusky,Ohio,9/26/2023,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Andy and Tina Dubourt,Prince Albert,Saskatchewan,6/25/2024,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
