LAKENAME,Survey Number,SITE_ID,Year,Month,Day,LAT_DD,LON_DD,WSAREA_km2,lake_AREA_HA,NTL,PTL,SNOW,SNOW_YrMean,FIRE,FIRE_YrMean,LST,LST_YrMean,NPP,NPP_YrMean,Precip,Precip_YrMean,Tmean,Tmean_YrMean,Atmo_Pdep_2002,Atmo_Pdep_2007,Tot_Ndep_2000,Tot_Ndep_2007,Tot_Sdep_2000,Tot_Sdep_2007,N_CBNF_2007,N_Crop_N_Rem_2007,N_Fert_Farm_2007,N_Fert_Urban_2007,Human_N_Demand_2007,N_Human_Waste_2007,N_Livestock_Food_Demand_2007,N_Livestock.Waste_2007,N_Livestock_N_Content_2007,N_Rock_2007,nani,P_Crop_removal_2007,P_f_fertilizer_2007,P_livestock_demand_2007,P_livestock_Waste_2007,P_livestock_production_2007,P_nf_fertilizer_2007,P_human_food_demand_kg_2007,P_human_nonfood_demand_kg_2007,P_human_waste_kg_2007,P_Accumulated_ag_inputs_2007,NAPI,Total Input,Legacy,DamDensWs,PctWdWet2011Ws,PctHbWet2011Ws,wetlands,RunoffWs,ClayWs,SandWs,OmWs,BFIWs,AgKffactWs,P2O5Ws,Depth,logchl_A
Lake Wurdeman,1,NLA06608-0001,2007,7,31,48.9790286,-114.0218399,3.757720078,66.2930555,2.181843588,0.84509804,0.847371857,1.758231538,0.041392686,0.041392686,1.397301201,0.599057443,0.601632317,0.328396995,1.116939636,2.043797663,1.272247858,0.551068599,0.636427719,0.974466554,0.726464592,0.743232086,0.582370328,0.478139209,0,0,0,0,0,0,0,0,0,0.272185562,0.005211569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.986323777,1.137024401,1.520521133,0.318832505,1.839209338,0,0.044931939,0.919078092,0.093421685
Crane Pond,1,NLA06608-0002,2007,6,14,33.036064,-79.9837905,2.290436081,14.43799807,2.84260924,1.568201724,0,0,0.686859614,0.472640672,1.48131847,1.370309298,0.454754862,0.561161273,1.97694575,1.982853294,1.425636094,1.291077334,0.913511856,0.973483232,1.063883908,0.952029193,1.094592121,0.989886897,0,0,0,0,0,0,0,0,0,0.480060455,0.014826244,0,0,0,0,0,0,0,0,0,0,0,0.881373587,0,0,1.407038262,1.124358184,1.578006028,2.523746467,1.541079768,1.657351104,0.350248018,1.812913357,0,0.054995864,0.255272505,1.125806458
Wilderness Lake,1,NLA06608-0003,2007,8,29,28.0477421,-97.8598661,4.837379808,5.701736559,2.868644438,1.643452676,0,0,0.041392686,0.041392686,1.481318457,1.449563423,0.269568098,0.300067156,1.985920209,1.915474576,1.473705878,1.352704973,0.779519289,0.816901184,0.965260504,0.92757273,0.659773905,0.625482851,0.071735969,1.261868657,1.399321653,0.091443692,0.247378325,0.197713894,1.190160954,1.104216513,0.577702323,0.410926175,1.316247952,0.641385828,0.513950369,0.806241628,0.640926869,0.480929834,0.01224195,0.033101697,0.026073209,0.051195105,2.628388326,1.621121833,2.596128876,6.260527648,0,0.407548845,0.029419051,0.419297411,1.431363764,1.594667292,1.497587723,0.138466038,1.041392685,0.067991741,0.066375319,0.389166084,1.20167018
Puett Reservoir,1,NLA06608-0004,2007,7,10,37.4166201,-108.4045832,4.702661694,65.38630923,2.537819095,1.278753601,0,1.411672719,0.041392686,0.041392686,1.564923786,1.261616656,0.443355405,0.323858169,1.754558546,1.610271913,1.343580892,0.961860898,0.6120322,0.964887726,0.753447469,0.798282602,0.491189329,0.466287238,0.385230929,0.442329727,0.223292407,0,0,0,0.188081778,0.162719939,0.036417265,0.514406069,0.25450751,0.081492824,0.015909858,0.077638112,0.050031649,0.03086009,0,0,0,0,1.041641308,0,0.989728602,0,0.084724629,0.413260101,0.05526803,0.435442201,1.758885195,1.600627715,1.253155099,0.24864823,1.75643729,0.001657223,0.133515499,0.788875116,1.027757205
Perkins Lake,1,NLA06608-0005,2007,7,18,43.9292093,-114.8403862,87.07638265,19.48761255,1.934498451,0.698970004,0,1.774497806,0.041392686,0.041392686,1.496842525,0.88349005,0.399646472,0.264366902,1.464549156,1.899983653,1.279164844,0.68509205,0.496036619,0.790429436,0.773849091,0.76752031,0.423296864,0.370304217,0,0,0,0,0,0,0,0,0,0.303291283,0.000242072,0,0,0,0,0,0,0,0,0,0,0,0.881373587,0,0,0.370127342,0.24938288,0.494247929,2.52092897,1.100962143,1.69624516,0.408506789,1.880640253,0,0.0538628,0.812913357,0.256477206
Morris Reservoir,1,NLA06608-0006,2007,7,17,41.6831462,-73.1465177,23.08342257,56.19974819,2.267171728,0.903089987,0,1.074669612,0.041392686,0.041392686,1.391671234,1.134116844,0.587498849,0.485866681,2.276588168,2.030498524,1.332640415,1.010476638,0.920029364,0.923560546,1.201287852,1.08435569,1.17972638,1.088061632,0.37962093,1.040699513,0.904047698,0.396446491,0.875354363,0.76984516,0.943424894,0.851664534,0.426828261,0.490030904,1.131615314,0.414739544,0.213170476,0.518657878,0.40051474,0.251937058,0.110452011,0.222943844,0.18301938,0.313819146,2.463276024,1.458978161,1.948588569,5.506301541,0.053039551,0.526037154,0.126792218,0.567814122,2.824776462,0.875791711,1.677885457,0.663045486,1.684412107,0.016974263,0.061762151,1.390051496,0.667452953
Spring Lake,1,NLA06608-0007,2007,7,24,45.5806455,-92.040018,9.127280415,25.4747633,2.693726949,0.954242509,0,1.223538181,0.041392686,0.041392686,1.415302031,1.058287505,0.259102662,0.257628978,2.043244359,1.710075037,1.347134778,0.883377491,0.930076504,0.968798507,1.083272161,0.992925523,0.777006619,0.672786742,0.814024044,1.0984016,0.982609609,0.033582885,0.17369335,0.136522541,1.036980365,0.925690117,0.539261555,0.445484579,1.064093668,0.435337523,0.31784931,0.735568917,0.619233854,0.357606859,0.003875381,0.021477296,0.016869054,0.033457809,2.236689446,1.689031928,2.360190743,4.570224853,0,0.569985197,0.816302433,0.966899219,2.459655265,1.01494035,1.679246145,0.760422483,1.819547594,0.013174691,0.076160378,1.281033367,0.629409599
Lake Ahquabi,1,NLA06608-0008,2007,7,12,41.292111,-93.5904049,13.32280668,48.7370362,2.904174368,1.826074803,0,1.051886484,0.041392686,0.041392686,1.469300066,1.22498348,0.362322145,0.287021037,1.691678122,1.904819194,1.392828795,1.051558475,0.904120759,0.947076226,1.066631867,1.131750787,0.731651222,0.811366048,1.510204171,1.737770212,1.505952585,0.542622864,0.643213797,0.55048803,1.025403991,0.930500398,0.488720219,0.441366423,1.365069879,0.919556667,0.714392541,0.674096496,0.532292049,0.364608652,0.184919911,0.130053978,0.104745898,0.190756584,2.821287234,0.418352965,2.790994038,5.854869953,0.243073418,0.23782979,0.110692433,0.305231749,2.356025857,1.53544738,1.049770336,0.401278588,1.427998454,0.054119239,0.088082596,0.740362689,1.955302823
Bogie Lake,1,NLA06608-0010,2007,7,17,42.6182301,-83.5058877,2.93251514,30.03733238,2.675778342,1.041392685,0,1.15270356,0.041392686,0.041392686,1.449563427,1.172471343,0.419617558,0.338112235,1.621539774,1.83484176,1.337808542,1.007223082,1.080424442,1.093386666,1.233254963,1.120660125,1.212772448,1.055939954,0.319232875,0.46706158,0.398858278,1.208619416,1.640648549,1.519659014,0.183223437,0.150281338,0.045864204,0.471576495,1.778137508,0.106042753,0.092864388,0.064632545,0.04329415,0.023515698,0.455672596,0.733007437,0.64772179,0.901059651,1.638914511,2.975399326,1.879467872,0,0,1.03707765,0.100002685,1.047281927,2.409933123,1.06111069,1.830215336,0.428597787,1.800780418,0,0.047146313,1.056904851,0.686189234
Cushing Lake,1,NLA06608-0012,2007,6,13,35.9907882,-96.8717873,83.21774471,177.6575126,3.011570444,2.204119983,0,0.79125031,0.041392686,0.041861273,1.461098945,1.397001443,0.31532558,0.162817455,2.480102809,1.92093021,1.394364114,1.22480634,1.034034358,1.121902743,1.050240407,1.101569755,0.752229344,0.783602375,0.478371779,1.061594126,1.180182611,0.113355837,0.359188362,0.293679366,1.454961032,1.361734672,0.813398333,0.408347022,1.480200519,0.438201791,0.426652679,1.041047133,0.861329196,0.674372974,0.013783891,0.054030573,0.042772374,0.082525857,2.632922687,2.565144416,2.890090423,6.264763138,0.005186782,0,0,0,2.236236869,1.543207111,1.356671751,0.285340651,1.222745434,0.029083563,0.075617546,0.537819095,1.148910993
